Device_ID,User_ID,Device_Type
1,USER_1834,Laptop
2,USER_7875,Mobile
3,USER_2734,Tablet
4,USER_2617,Tablet
5,USER_2014,Mobile
6,USER_6852,Laptop
7,USER_5052,Tablet
8,USER_4660,Tablet
9,USER_1584,Tablet
10,USER_9498,Mobile
11,USER_2848,Laptop
12,USER_6860,Laptop
13,USER_6728,Laptop
14,USER_6655,Mobile
15,USER_7651,Tablet
16,USER_1248,Laptop
17,USER_9349,Tablet
18,USER_9413,Laptop
19,USER_5861,Tablet
20,USER_5939,Tablet
21,USER_5566,Mobile
22,USER_4615,Mobile
23,USER_3832,Tablet
24,USER_9751,Mobile
25,USER_9775,Mobile
26,USER_6725,Mobile
27,USER_3085,Tablet
28,USER_7987,Tablet
29,USER_1116,Laptop
30,USER_8088,Laptop
31,USER_4147,Mobile
32,USER_7419,Laptop
33,USER_7666,Mobile
34,USER_5135,Mobile
35,USER_8041,Laptop
36,USER_2155,Laptop
37,USER_5843,Laptop
38,USER_2756,Tablet
39,USER_4265,Laptop
40,USER_7471,Tablet
41,USER_8456,Mobile
42,USER_5964,Tablet
43,USER_8631,Tablet
44,USER_3125,Mobile
45,USER_8150,Mobile
46,USER_8968,Mobile
47,USER_6129,Tablet
48,USER_6910,Mobile
49,USER_6333,Mobile
50,USER_4369,Tablet
51,USER_5004,Mobile
52,USER_1299,Mobile
53,USER_5589,Tablet
54,USER_4320,Mobile
55,USER_7970,Laptop
56,USER_7335,Mobile
57,USER_1353,Tablet
58,USER_7190,Tablet
59,USER_9641,Laptop
60,USER_7599,Mobile
61,USER_1490,Tablet
62,USER_9717,Mobile
63,USER_3789,Mobile
64,USER_3467,Laptop
65,USER_1329,Laptop
66,USER_4932,Tablet
67,USER_5318,Mobile
68,USER_7101,Mobile
69,USER_7646,Mobile
70,USER_8482,Laptop
71,USER_6828,Tablet
72,USER_3415,Mobile
73,USER_1296,Tablet
74,USER_8825,Mobile
75,USER_2051,Mobile
76,USER_9409,Mobile
77,USER_5520,Laptop
78,USER_2517,Laptop
79,USER_2084,Laptop
80,USER_5180,Tablet
81,USER_6874,Laptop
82,USER_3288,Tablet
83,USER_2399,Mobile
84,USER_3739,Tablet
85,USER_5231,Mobile
86,USER_1970,Tablet
87,USER_1362,Mobile
88,USER_7002,Tablet
89,USER_6333,Tablet
90,USER_2927,Mobile
91,USER_4250,Laptop
92,USER_1586,Laptop
93,USER_9555,Tablet
94,USER_9814,Mobile
95,USER_9781,Tablet
96,USER_5143,Tablet
97,USER_6868,Mobile
98,USER_8955,Mobile
99,USER_9104,Tablet
100,USER_3053,Laptop
101,USER_4414,Tablet
102,USER_2530,Tablet
103,USER_5978,Mobile
104,USER_7333,Tablet
105,USER_7982,Tablet
106,USER_1081,Tablet
107,USER_8172,Mobile
108,USER_8784,Tablet
109,USER_1446,Tablet
110,USER_5144,Laptop
111,USER_6056,Mobile
112,USER_5047,Tablet
113,USER_2545,Tablet
114,USER_1455,Laptop
115,USER_5937,Mobile
116,USER_1555,Tablet
117,USER_7021,Tablet
118,USER_5459,Tablet
