User_ID,Account_Balance,Previous_Fraudulent_Activity
USER_1000,36077.57,0
USER_1001,53747.87,1
USER_1002,41720.3,0
USER_1003,21063.42,1
USER_1004,45087.07,0
USER_1005,21653.41,0
USER_1006,42894.9,0
USER_1007,45854.7,0
USER_1008,4656.32,0
USER_1009,13322.27,0
USER_1010,32937.74,0
USER_1011,66349.27,1
USER_1012,30275.97,1
USER_1013,5920.03,0
USER_1014,49969.2,0
USER_1015,30477.23,1
USER_1016,62593.76,1
USER_1017,17480.45,0
USER_1018,30798.46,0
USER_1019,21610.31,1
USER_1020,46182.4,1
USER_1021,5285.2,1
USER_1022,74994.33,1
USER_1023,12685.17,1
USER_1024,62625.99,0
USER_1025,86149.42,0
USER_1026,36553.4,0
USER_1027,47946.46,1
USER_1028,62577.2,0
USER_1029,94965.53,1
USER_1030,73647.29,0
USER_1031,50461.32,0
USER_1032,25181.65,0
USER_1033,83085.28,0
USER_1034,17051.25,0
USER_1035,40241.82,0
USER_1036,94326.85,0
USER_1037,11434.89,1
USER_1038,41197.79,0
USER_1039,59097.05,0
USER_1040,32499.37,1
USER_1041,38512.25,0
USER_1042,52868.19,0
USER_1043,19935.89,0
USER_1044,15138.91,1
USER_1045,35297.5,1
USER_1046,97056.18,0
USER_1047,75846.89,0
USER_1048,57254.61,0
USER_1049,82095.94,0
USER_1050,21343.39,0
USER_1051,10837.95,1
USER_1052,52246.8,1
USER_1053,96546.53,0
USER_1054,55743.76,0
USER_1055,92964.81,1
USER_1056,67846.77,1
USER_1057,87038.32,0
USER_1058,64913.2,0
USER_1059,49295.56,0
USER_1060,12218.21,1
USER_1061,35188.42,1
USER_1062,19018.59,0
USER_1063,60753.19,1
USER_1064,22543.84,0
USER_1065,8785.8,1
USER_1066,98973.99,0
USER_1067,80496.13,1
USER_1068,66668.61,0
USER_1069,88520.89,1
USER_1070,38281.92,0
USER_1071,23523.57,0
USER_1072,89059.88,1
USER_1073,74070.18,1
USER_1074,66458.9,0
USER_1075,95262.12,0
USER_1076,18928.86,0
USER_1077,57538.31,0
USER_1078,1741.77,0
USER_1079,39338.62,0
USER_1080,2579.06,0
USER_1081,25814.69,0
USER_1082,27303.75,1
USER_1083,62269.83,0
USER_1084,63849.18,0
USER_1085,48264.31,0
USER_1086,95362.64,0
USER_1087,94616.76,0
USER_1088,68860.11,1
USER_1089,85073.7,0
USER_1090,62141.6,0
USER_1091,65299.1,0
USER_1092,25616.66,0
USER_1093,39264.01,1
USER_1094,55984.29,1
USER_1095,83609.67,1
USER_1096,48815.91,0
USER_1097,24296.07,1
USER_1098,10194.98,1
USER_1099,11551.06,0
USER_1100,29152.95,0
USER_1101,78103.03,1
USER_1102,93690.31,0
